"replyId","city","units","lang","mode","apikey","city_id","city_name","coord_lon","coord_lat","country","sun_rise","sun_set","temperature","temperature_min","temperature_max","temperature_unit","huminity","pressure","wind_speed","wind_speed_name","wind_direction","wind_direction_code","wind_direction_name","clouds","clouds_name","visibility","precipitation","precipitation_mode","precipitation_unit","weather_number","weather","weather_icon","last_update","humidity_unit","pressure_unit"
"1","Boston","metric","en","xml","50b2ae8523a458183982bf56254556dc","4930956","Boston","-71.06","42.36","US","2016-03-02T11:16:14","2016-03-02T22:36:38","10.26","8","12","metric","93","1008","2.6","Light breeze","310","NW","Northwest","90","overcast clouds","8047","NULL","no","NULL","501","moderate rain","10d","2016-03-02T13:50:00","%","hPa"
"2","Boston","imperial","en","xml","50b2ae8523a458183982bf56254556dc","4930956","Boston","-71.06","42.36","US","2016-03-02T11:16:14","2016-03-02T22:36:38","50.47","46.4","53.6","fahrenheit","93","1008","5.82","Moderate breeze","310","NW","Northwest","90","overcast clouds","8047","NULL","no","NULL","501","moderate rain","10d","2016-03-02T13:50:00","%","hPa"
"3","Chicago","metric","en","xml","50b2ae8523a458183982bf56254556dc","4887398","Chicago","-87.65","41.85","US","2016-03-02T12:22:07","2016-03-02T23:43:26","-10.07","-10.07","-10.07","metric","85","1011.17","2.37","Light breeze","244.5","WSW","West-southwest","0","clear sky","NULL","NULL","no","NULL","800","clear sky","01d","2016-03-02T13:59:56","%","hPa"
"4","Chicago","imperial","en","xml","50b2ae8523a458183982bf56254556dc","4887398","Chicago","-87.65","41.85","US","2016-03-02T12:22:07","2016-03-02T23:43:26","13.88","13.88","13.88","fahrenheit","85","1011.17","5.3","Gentle Breeze","244.5","WSW","West-southwest","0","clear sky","NULL","NULL","no","NULL","800","clear sky","01d","2016-03-02T13:59:56","%","hPa"
"5","New York","metric","en","xml","50b2ae8523a458183982bf56254556dc","5128581","New York","-74.01","40.71","US","2016-03-02T11:26:45","2016-03-02T22:49:41","6.43","6.43","6.43","metric","53","1004.2","5.52","Moderate breeze","285","WNW","West-northwest","8","clear sky","NULL","NULL","no","NULL","800","clear sky","02d","2016-03-02T14:00:34","%","hPa"
"6","New York","imperial","en","xml","50b2ae8523a458183982bf56254556dc","5128581","New York","-74.01","40.71","US","2016-03-02T11:26:45","2016-03-02T22:49:41","43.58","43.58","43.58","fahrenheit","53","1004.2","12.35","Strong breeze","285","WNW","West-northwest","8","clear sky","NULL","NULL","no","NULL","800","clear sky","02d","2016-03-02T14:00:34","%","hPa"
"7","Atlanta","metric","en","xml","50b2ae8523a458183982bf56254556dc","4180439","Atlanta","-84.39","33.75","US","2016-03-02T12:03:26","2016-03-02T23:35:53","3.43","3.43","3.43","metric","88","1001.52","5.22","Gentle Breeze","322.5","NW","Northwest","0","clear sky","NULL","NULL","no","NULL","800","clear sky","01d","2016-03-02T13:54:54","%","hPa"
"8","Atlanta","imperial","en","xml","50b2ae8523a458183982bf56254556dc","4180439","Atlanta","-84.39","33.75","US","2016-03-02T12:03:26","2016-03-02T23:35:53","38.18","38.18","38.18","fahrenheit","88","1001.52","11.68","Strong breeze","322.5","NW","Northwest","0","clear sky","NULL","NULL","no","NULL","800","clear sky","01d","2016-03-02T13:54:54","%","hPa"
"9","Miami","metric","en","xml","50b2ae8523a458183982bf56254556dc","4164138","Miami","-80.19","25.77","US","2016-03-02T11:41:57","2016-03-02T23:23:38","24.46","24.46","24.46","metric","62","1033.87","2.07","Light breeze","309","NW","Northwest","68","broken clouds","NULL","NULL","no","NULL","803","broken clouds","04d","2016-03-02T13:54:55","%","hPa"
"10","Miami","imperial","en","xml","50b2ae8523a458183982bf56254556dc","4164138","Miami","-80.19","25.77","US","2016-03-02T11:41:57","2016-03-02T23:23:38","76.02","76.02","76.02","fahrenheit","62","1033.87","4.63","Gentle Breeze","309","NW","Northwest","68","broken clouds","NULL","NULL","no","NULL","803","broken clouds","04d","2016-03-02T13:54:55","%","hPa"
"11","Las Vegas","metric","en","xml","50b2ae8523a458183982bf56254556dc","5506956","Las Vegas","-115.14","36.17","US","2016-03-02T14:07:53","2016-03-03T01:37:26","4.33","4.33","4.33","metric","41","919.65","0.97","Calm","350","","","0","clear sky","NULL","NULL","no","NULL","800","clear sky","01n","2016-03-02T13:58:33","%","hPa"
"12","Las Vegas","imperial","en","xml","50b2ae8523a458183982bf56254556dc","5506956","Las Vegas","-115.14","36.17","US","2016-03-02T14:07:53","2016-03-03T01:37:26","39.8","39.8","39.8","fahrenheit","41","919.65","2.17","Light breeze","350","","","0","clear sky","NULL","NULL","no","NULL","800","clear sky","01n","2016-03-02T13:58:33","%","hPa"
"13","Paris","metric","en","xml","50b2ae8523a458183982bf56254556dc","2988507","Paris","2.35","48.85","FR","2016-03-02T06:28:44","2016-03-02T17:37:06","9.66","9","10","metric","57","1003","9.3","Fresh Breeze","260","W","West","75","broken clouds","10000","NULL","no","NULL","803","broken clouds","04d","2016-03-02T13:30:00","%","hPa"
"14","Paris","imperial","en","xml","50b2ae8523a458183982bf56254556dc","2988507","Paris","2.35","48.85","FR","2016-03-02T06:28:44","2016-03-02T17:37:06","49.39","48.2","50","fahrenheit","57","1003","20.8","Severe Gale","260","W","West","75","broken clouds","10000","NULL","no","NULL","803","broken clouds","04d","2016-03-02T13:30:00","%","hPa"
"15","London","metric","en","xml","50b2ae8523a458183982bf56254556dc","2643743","London","-0.13","51.51","GB","2016-03-02T06:41:27","2016-03-02T17:44:17","4.66","4.66","4.66","metric","96","1000.71","10.22","Fresh Breeze","310.5","NW","Northwest","44","scattered clouds","NULL","0.5075","rain","3h","500","light rain","10d","2016-03-02T14:03:10","%","hPa"
"16","London","imperial","en","xml","50b2ae8523a458183982bf56254556dc","2643743","London","-0.13","51.51","GB","2016-03-02T06:41:27","2016-03-02T17:44:17","40.38","40.38","40.38","fahrenheit","96","1000.71","22.86","Severe Gale","310.5","NW","Northwest","44","scattered clouds","NULL","0.5075","rain","3h","500","light rain","10d","2016-03-02T14:03:10","%","hPa"
"17","London,UK","metric","en","xml","50b2ae8523a458183982bf56254556dc","2643743","London","-0.13","51.51","GB","2016-03-02T06:41:27","2016-03-02T17:44:17","4.66","4.66","4.66","metric","96","1000.71","10.22","Fresh Breeze","310.5","NW","Northwest","44","scattered clouds","NULL","0.5075","rain","3h","500","light rain","10d","2016-03-02T14:03:10","%","hPa"
"18","London,UK","imperial","en","xml","50b2ae8523a458183982bf56254556dc","2643743","London","-0.13","51.51","GB","2016-03-02T06:41:27","2016-03-02T17:44:17","40.38","40.38","40.38","fahrenheit","96","1000.71","22.86","Severe Gale","310.5","NW","Northwest","44","scattered clouds","NULL","0.5075","rain","3h","500","light rain","10d","2016-03-02T14:03:10","%","hPa"
"19","London,ON","metric","en","xml","50b2ae8523a458183982bf56254556dc","6058560","London","-81.23","42.98","CA","2016-03-02T11:57:22","2016-03-02T23:16:52","-6.47","-6.47","-6.47","metric","98","1006.15","7.82","Moderate breeze","293","WNW","West-northwest","0","clear sky","NULL","NULL","no","NULL","800","clear sky","01d","2016-03-02T13:55:33","%","hPa"
"20","London,ON","imperial","en","xml","50b2ae8523a458183982bf56254556dc","6058560","London","-81.23","42.98","CA","2016-03-02T11:57:22","2016-03-02T23:16:52","20.36","20.36","20.36","fahrenheit","98","1006.15","17.49","Gale","293","WNW","West-northwest","0","clear sky","NULL","NULL","no","NULL","800","clear sky","01d","2016-03-02T13:55:33","%","hPa"
"21","Moscow","metric","en","xml","50b2ae8523a458183982bf56254556dc","524901","Moscow","37.62","55.75","RU","2016-03-02T04:15:57","2016-03-02T15:07:59","2.56","2.56","2.56","metric","97","996.01","4.92","Gentle Breeze","163","SSE","South-southeast","92","overcast clouds","NULL","1.065","rain","3h","500","light rain","10d","2016-03-02T13:59:14","%","hPa"
"22","Moscow","imperial","en","xml","50b2ae8523a458183982bf56254556dc","524901","Moscow","37.62","55.75","RU","2016-03-02T04:15:57","2016-03-02T15:07:59","36.6","36.6","36.6","fahrenheit","97","996.01","11.01","Strong breeze","163","SSE","South-southeast","92","overcast clouds","NULL","1.065","rain","3h","500","light rain","10d","2016-03-02T13:59:14","%","hPa"
"23","Moscow,PA","metric","en","xml","50b2ae8523a458183982bf56254556dc","5202009","Moscow","-75.52","41.34","US","2016-03-02T11:33:16","2016-03-02T22:55:16","-0.05","-0.05","-0.05","metric","51","967.88","5.52","Moderate breeze","298","WNW","West-northwest","0","clear sky","NULL","NULL","no","NULL","800","clear sky","01d","2016-03-02T14:02:06","%","hPa"
"24","Moscow,PA","imperial","en","xml","50b2ae8523a458183982bf56254556dc","5202009","Moscow","-75.52","41.34","US","2016-03-02T11:33:16","2016-03-02T22:55:16","31.92","31.92","31.92","fahrenheit","51","967.88","12.35","Strong breeze","298","WNW","West-northwest","0","clear sky","NULL","NULL","no","NULL","800","clear sky","01d","2016-03-02T14:02:06","%","hPa"
"25","Moscow,TX","metric","en","xml","50b2ae8523a458183982bf56254556dc","4683453","Corrigan","-94.83","31","US","2016-03-02T12:43:28","2016-03-03T00:19:19","12.16","12.16","12.16","metric","66","1028.76","2.32","Light breeze","92.5","E","East","0","clear sky","NULL","NULL","no","NULL","800","clear sky","01d","2016-03-02T14:02:13","%","hPa"
"26","Moscow,TX","imperial","en","xml","50b2ae8523a458183982bf56254556dc","4683453","Corrigan","-94.83","31","US","2016-03-02T12:43:28","2016-03-03T00:19:19","53.88","53.88","53.88","fahrenheit","66","1028.76","5.19","Gentle Breeze","92.5","E","East","0","clear sky","NULL","NULL","no","NULL","800","clear sky","01d","2016-03-02T14:02:13","%","hPa"
"27","Prague","metric","en","xml","50b2ae8523a458183982bf56254556dc","3067696","Prague","14.42","50.09","CZ","2016-03-02T05:41:48","2016-03-02T16:47:31","3.58","3.58","3.58","metric","95","983.45","4.12","Gentle Breeze","198.5","SSW","South-southwest","80","broken clouds","NULL","NULL","no","NULL","803","broken clouds","04d","2016-03-02T14:02:36","%","hPa"
"28","Prague","imperial","en","xml","50b2ae8523a458183982bf56254556dc","3067696","Prague","14.42","50.09","CZ","2016-03-02T05:41:48","2016-03-02T16:47:31","38.45","38.45","38.45","fahrenheit","95","983.45","9.22","Fresh Breeze","198.5","SSW","South-southwest","80","broken clouds","NULL","NULL","no","NULL","803","broken clouds","04d","2016-03-02T14:02:36","%","hPa"
"29","Tokyo","metric","en","xml","50b2ae8523a458183982bf56254556dc","1850147","Tokyo","139.69","35.69","JP","2016-03-01T21:09:11","2016-03-02T08:37:47","2.78","2.78","2.78","metric","99","1032.57","1.87","Light breeze","121.5","ESE","East-southeast","0","clear sky","NULL","NULL","no","NULL","800","clear sky","01n","2016-03-02T14:02:16","%","hPa"
"30","Tokyo","imperial","en","xml","50b2ae8523a458183982bf56254556dc","1850147","Tokyo","139.69","35.69","JP","2016-03-01T21:09:11","2016-03-02T08:37:47","37.01","37.01","37.01","fahrenheit","99","1032.57","4.18","Gentle Breeze","121.5","ESE","East-southeast","0","clear sky","NULL","NULL","no","NULL","800","clear sky","01n","2016-03-02T14:02:16","%","hPa"
"31","Madrid","metric","en","xml","50b2ae8523a458183982bf56254556dc","3117735","Madrid","-3.7","40.42","ES","2016-03-02T06:45:35","2016-03-02T18:08:26","15.83","15.83","15.83","metric","70","962.53","4.42","Gentle Breeze","296.5","WNW","West-northwest","0","clear sky","NULL","NULL","no","NULL","800","clear sky","01d","2016-03-02T14:03:42","%","hPa"
"32","Madrid","imperial","en","xml","50b2ae8523a458183982bf56254556dc","3117735","Madrid","-3.7","40.42","ES","2016-03-02T06:45:35","2016-03-02T18:08:26","60.5","60.5","60.5","fahrenheit","70","962.53","9.89","Fresh Breeze","296.5","WNW","West-northwest","0","clear sky","NULL","NULL","no","NULL","800","clear sky","01d","2016-03-02T14:03:42","%","hPa"
"33","Seattle","metric","en","xml","50b2ae8523a458183982bf56254556dc","5809844","Seattle","-122.33","47.61","US","2016-03-02T14:45:34","2016-03-03T01:57:31","7.91","7.91","7.91","metric","99","1017.66","5.37","Gentle Breeze","211","SSW","South-southwest","88","overcast clouds","NULL","1.235","rain","3h","500","light rain","10n","2016-03-02T13:57:12","%","hPa"
"34","Seattle","imperial","en","xml","50b2ae8523a458183982bf56254556dc","5809844","Seattle","-122.33","47.61","US","2016-03-02T14:45:34","2016-03-03T01:57:31","46.23","46.23","46.23","fahrenheit","99","1017.66","12.01","Strong breeze","211","SSW","South-southwest","88","overcast clouds","NULL","1.235","rain","3h","500","light rain","10n","2016-03-02T13:57:12","%","hPa"
"35","Montreal","metric","en","xml","50b2ae8523a458183982bf56254556dc","6077243","Montreal","-73.59","45.51","CA","2016-03-02T11:28:58","2016-03-02T22:44:13","-3.1","-3.1","-3.1","metric","92","1004.36","8.37","Fresh Breeze","260","W","West","48","scattered clouds","NULL","NULL","no","NULL","802","scattered clouds","03d","2016-03-02T14:01:08","%","hPa"
"36","Montreal","imperial","en","xml","50b2ae8523a458183982bf56254556dc","6077243","Montreal","-73.59","45.51","CA","2016-03-02T11:28:58","2016-03-02T22:44:13","26.43","26.43","26.43","fahrenheit","92","1004.36","18.72","Gale","260","W","West","48","scattered clouds","NULL","NULL","no","NULL","802","scattered clouds","03d","2016-03-02T14:01:08","%","hPa"
